graph_id,vertices,edges,prim_time_ms,kruskal_time_ms,prim_ops,kruskal_ops,prim_cost,kruskal_cost,prim_disconnected,kruskal_disconnected
1,16,42,2.4775,1.302,18,74,354,354,False,False
2,22,55,0.1604,0.161,37,168,402,402,False,False
3,9,22,0.0706,0.0531,8,29,149,149,False,False
4,7,14,0.0262,0.036,8,32,135,135,False,False
5,21,45,0.0815,0.0954,26,112,362,362,False,False
6,268,735,1.6241,1.7669,667,3189,5395,5395,False,False
7,48,108,0.2094,0.2262,64,281,1339,1339,False,False
8,192,390,1.0778,1.0834,350,1628,5380,5380,False,False
9,235,519,1.2924,1.1917,453,2135,5689,5689,False,False
10,143,412,0.4097,0.5618,274,1271,2990,2990,False,False
11,61,124,0.1362,0.1738,97,442,1629,1629,False,False
12,158,469,0.4594,1.1333,296,1381,3063,3063,False,False
13,107,255,0.3131,0.3221,189,887,2389,2389,False,False
14,293,782,0.8712,1.0189,597,2821,6518,6518,False,False
15,300,651,0.8182,0.7401,602,2890,7641,7641,False,False
16,398,995,1.19,1.3394,831,3942,9387,9387,False,False
17,757,2147,3.1661,3.2015,1859,8920,15659,15659,False,False
18,353,904,0.817,1.1418,762,3603,7644,7644,False,False
19,660,1727,1.8793,1.9507,1409,6743,14183,14183,False,False
20,712,1764,2.5751,2.383,1613,7674,16308,16308,False,False
21,454,1162,1.282,1.2314,1094,5229,10593,10593,False,False
22,884,1829,2.1784,2.0245,1556,7318,23790,23790,False,False
23,385,1090,1.1545,0.6216,790,3732,7850,7850,False,False
24,794,2272,3.3036,2.2292,1527,7318,15589,15589,False,False
25,561,1387,1.6212,1.12,1098,5232,13209,13209,False,False
26,1649,3578,5.3275,5.3115,3428,16231,43507,43507,False,False
27,1820,4682,10.1158,8.0898,4243,20239,41428,41428,False,False
28,1050,2583,6.6199,6.7203,2429,11590,23912,23912,False,False
